date,OPU_index
3/1/1997,8.666665954
4/1/1997,18.2857351
5/1/1997,13.61153994
6/1/1997,10.86601549
7/1/1997,18.89349282
8/1/1997,49.98962133
9/1/1997,5.524944237
10/1/1997,15.57389149
11/1/1997,18.62343041
12/1/1997,16.84784225
1/1/1998,17.79590398
2/1/1998,27.22555312
3/1/1998,42.59762328
4/1/1998,27.96984525
5/1/1998,23.60228095
6/1/1998,29.60878265
7/1/1998,16.1091347
8/1/1998,25.13476552
9/1/1998,33.88296094
10/1/1998,52.9618459
11/1/1998,28.67018315
12/1/1998,48.57073732
1/1/1999,31.90404647
2/1/1999,31.44053578
3/1/1999,34.94656608
4/1/1999,30.44125056
5/1/1999,37.4496382
6/1/1999,32.61753836
7/1/1999,34.9860189
8/1/1999,61.63115478
9/1/1999,40.01715767
10/1/1999,35.70651834
11/1/1999,48.68063215
12/1/1999,22.83589046
1/1/2000,54.84414593
2/1/2000,99.65997489
3/1/2000,89.14756487
4/1/2000,113.8091459
5/1/2000,58.9588216
6/1/2000,90.55106047
7/1/2000,112.9925389
8/1/2000,118.4660143
9/1/2000,218.3814694
10/1/2000,157.342835
11/1/2000,119.0900171
12/1/2000,77.16831093
1/1/2001,103.1877513
2/1/2001,148.9053906
3/1/2001,104.4406714
4/1/2001,82.13807464
5/1/2001,95.84768271
6/1/2001,61.93112653
7/1/2001,121.7692226
8/1/2001,70.85512212
9/1/2001,114.5574907
10/1/2001,50.6074021
11/1/2001,98.5651415
12/1/2001,74.33216631
1/1/2002,84.34108172
2/1/2002,77.09012923
3/1/2002,81.60515865
4/1/2002,202.4143626
5/1/2002,57.56971891
6/1/2002,44.88177393
7/1/2002,40.33310665
8/1/2002,25.21274456
9/1/2002,117.8352859
10/1/2002,54.04761927
11/1/2002,30.85624786
12/1/2002,46.44513113
1/1/2003,82.14772854
2/1/2003,89.11687246
3/1/2003,217.1745311
4/1/2003,145.5412058
5/1/2003,63.0172609
6/1/2003,37.32246911
7/1/2003,46.20770864
8/1/2003,65.14953997
9/1/2003,85.31814957
10/1/2003,67.67001518
11/1/2003,55.01609886
12/1/2003,33.2063279
1/1/2004,39.93857029
2/1/2004,32.52508786
3/1/2004,101.0657704
4/1/2004,109.5648623
5/1/2004,213.7026229
